Course CRN Meeting Time,Day,Time,Building,Room,Comments
ACTG 475 - 19112 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2DH,330 ,
ACTG 475 - 17787 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2DH,330 ,
ACTG 484 - 26275 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,,,
ACTG 484 - 26274 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,,,
ACTG 493 - 34149 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2LH,210,
ACTG 493 - 34152 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2DH,220 ,
ACTG 493 - 34151 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2DH,220 ,
ACTG 493 - 34150 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2LH,210,
ACTG 494 - 38374 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2GH,205,
ACTG 494 - 38375 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2GH,205,
ACTG 494 - 32307 - 3:30 PM (R),Fri May 5,1:00 - 3:00 pm,,,
ACTG 500 - 17789 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2DH,210,
ACTG 502 - 17796 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2BH,208,
ACTG 503 - 17797 - 6:00 PM (T),Tue May 2,6:00 - 8:00 pm,2BH,208,
ACTG 506 - 17799 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2DH,210,
ACTG 508 - 17803 - 6:00 PM (T),Tue May 2,6:00 - 8:00 pm,2GH,205 ,
ACTG 509 - 32706 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2LH,210,
ACTG 516 - 17805 - 6:00 PM (R),Thu May 4,6:00 - 8:00 pm,2DH,210,
ACTG 534 - 37016 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2LH,103,
ACTG 537 - 22551 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2SH,319,
ACTG 585 - 23028 - 6:00 PM (T),Tue May 2,6:00 - 8:00 pm,2DH,230 ,
AH 100 - 26464 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2BH,304,
AH 100 - 22801 - 9:00 AM (MWF),Tue May 2,10:30 - 12:30 pm,,,
AH 101 - 37790 - 12:00 PM (MW),Tue May 2,8:00 - 10:00 am,,,
AH 180 - 39631 - 10:00 AM (MW),Fri May 5,10:30 - 12:30 pm,2LH,320,
AH 201 - 31002 - 9:00 AM (F),Tue May 2,10:30 - 12:30 pm,2BSB,211,
AH 206 - 37914 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2BSB,219,
AH 207 - 30056 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A002,
AH 207 - 30055 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A002,
AH 209 - 24924 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,304,
AH 209 - 24921 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,304,
AH 218 - 35880 - 11:00 AM (MWF),Thu May 4,10:30 - 12:30 pm,2SH,320,
AH 219 - 34167 - 11:00 AM (MWF),Thu May 4,10:30 - 12:30 pm,2SH,304,
AH 236 - 22808 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2LCD,D002,
AH 236 - 22809 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2LCD,D002,
AH 265 - 39224 - 2:00 PM (M),Wed May 3,1:00 - 3:00 pm,2HH,107,
AH 273 - 28603 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2HH,107,
AH 273 - 28601 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2HH,107,
AH 404 - 39906 - 2:00 PM (R),Wed May 3,3:30 - 5:30 pm,2JH,209,
AH 404 - 39907 - 2:00 PM (R),Wed May 3,3:30 - 5:30 pm,2JH,209,
AH 424 - 36777 - 6:00 PM (TR),Tue May 2,6:00 - 8:00 pm,2LH,321,
AH 480 - 28738 - 2:00 PM (T),Wed May 3,3:30 - 5:30 pm,2HH,303,
AH 480 - 28612 - 2:00 PM (T),Wed May 3,3:30 - 5:30 pm,2HH,303,
AH 512 - 13897 - 11:00 AM (F),Thu May 4,10:30 - 12:30 pm,,,
AH 522 - 30068 - 3:00 PM (R),Fri May 5,1:00 - 3:00 pm,2HH,303,
AH 542 - 35438 - 1:00 PM (W),Mon May 1,1:00 - 3:00 pm,2HH,303,
AH 544 - 33020 - 3:00 PM (F),Mon May 1,8:00 - 10:00 am,,,
AH 546 - 39232 - 9:00 AM (F),Tue May 2,10:30 - 12:30 pm,2HH,303,
AH 546 - 39576 - 1:00 PM (M),Mon May 1,1:00 - 3:00 pm,,,
AH 570 - 39289 - 5:30 PM (T),Thu May 4,3:30 - 5:30 pm,,,
AHS 102 - 37886 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,2LCA,A005,
AHS 102 - 39272 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,,,
AHS 200 - 39273 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2LCA,A006,
AHS 210 - 37887 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,,,
AHS 330 - 39274 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,,,
AHS 375 - 39276 - 10:00 AM (MW),Fri May 5,10:30 - 12:30 pm,2LCA,A005,
AHS 402 - 39275 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2LCA,A004,
AHS 512 - 38484 - 9:00 AM (T),Wed May 3,10:30 - 12:30 pm,,,
AHS 512 - 38484 - 9:00 AM (T),Wed May 3,10:30 - 12:30 pm,2AHSB,717 ,
AHS 594 - 37885 - 1:00 PM (F),Mon May 1,1:00 - 3:00 pm,,,
ANTH 100 - 30865 - 9:00 AM (MW),Tue May 2,10:30 - 12:30 pm,2BSB,250,
ANTH 101 - 15740 - 1:00 PM (MW),Mon May 1,1:00 - 3:00 pm,2BSB,250,
ANTH 102 - 27060 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,2BSB,145,
ANTH 105 - 15763 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A001,
ANTH 219 - 34483 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2LH,202,
ANTH 226 - 35711 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2TH,204,
ANTH 227 - 31839 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2TH,215,
ANTH 239 - 39546 - 11:00 AM (MWF),Thu May 4,10:30 - 12:30 pm,2BSB,2105,
ANTH 272 - 36586 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2BSB,2105,
ANTH 276 - 39406 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2SH,220,
ANTH 279 - 31832 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2BSB,335,
ANTH 418 - 39798 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2BSB,231,
ANTH 418 - 39799 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2BSB,231,
ANTH 480 - 37214 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2LH,115,
ANTH 480 - 37213 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2LH,115,
ANTH 482 - 15794 - 8:00 AM (T),Thu May 4,8:00 - 10:00 am,2BSB,2167,
ANTH 494 - 37276 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,2BSB,3160,
ANTH 494 - 37275 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,2BSB,3160,
ANTH 501 - 15779 - 11:00 AM (R),Mon May 1,10:30 - 12:30 pm,2BSB,3160,
ANTH 502 - 28718 - 12:00 PM (T),Fri May 5,8:00 - 10:00 am,,,
ANTH 520 - 37202 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2BSB,167,
ANTH 595 - 33642 - 2:00 PM (W),Wed May 3,1:00 - 3:00 pm,,,
ARAB 102 - 17746 - 1:00 PM (MTWR),Mon May 1,1:00 - 3:00 pm,2LH,103,
ARAB 102 - 34126 - 2:00 PM (MTWR),Wed May 3,1:00 - 3:00 pm,2LH,103,
ARAB 102 - 17745 - 11:00 AM (MTWR),Thu May 4,10:30 - 12:30 pm,2BSB,269,
ARAB 104 - 34127 - 1:00 PM (MTWR),Mon May 1,1:00 - 3:00 pm,2LH,104,
ARAB 104 - 17747 - 3:00 PM (MTWR),Mon May 1,8:00 - 10:00 am,2LH,101,
ARAB 104 - 38678 - 10:00 AM (MTWR),Fri May 5,10:30 - 12:30 pm,2BSB,269,
ARAB 104 - 20546 - 4:00 PM (MTWR),Tue May 2,3:30 - 5:30 pm,2LH,101,
ARAB 270 - 35423 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,220,
ARCH 106 - 34173 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,,,
ARCH 200 - 35157 - 11:00 AM (T),Mon May 1,10:30 - 12:30 pm,2SES,230,
ARCH 206 - 34174 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2ADS,2100,
ARCH 252 - 25500 - 9:30 AM (R),Wed May 3,10:30 - 12:30 pm,2BSB,140,
ARCH 360 - 22680 - 9:30 AM (T),Wed May 3,10:30 - 12:30 pm,2ADS,4300,
ARCH 366 - 23440 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,2ADS,4300,
ARCH 372 - 13928 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,,,
