Course CRN Meeting Time,Day,Time,Building,Room,Comments
CS 100 - 17397 - 3:00 PM (MWF),Mon May 7,8:00 - 10:00 am,2LCF,F004,
CS 107  - 17412 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2LCF,F004,
CS 109 - 19466 - 10:00 AM (MW),Fri May 11,10:30 - 12:30 pm,2SES,250,
CS 111 - 34013 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2SES,250,
CS 111 - 40575 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2TBH,180G,
CS 141 - ALL,Wed May 9,6:00 - 8:00 pm,2LCE,"E101, 2LCB B101",
CS 151 - ALL,Fri May 11,1:00 - 3:00 pm,2BSB,"250, 2LCE E101, 2SES 238",
CS 201  - 17418 - 12:00 PM (F),Fri May 11,8:00 - 10:00 am,2BH,B6,
CS 211 - 34456 - 10:00 AM (F),Fri May 11,10:30 - 12:30 pm,2LCF,"F001, F004",
CS 251 - ALL,Tue May 8,6:00 - 8:00 pm,2LCA,"A001, 2LCE E101, 2LCD D002, A007",
CS 261 - ALL,Wed May 9,6:00 - 8:00 pm,2LCA,A001,
CS 301  - 17422 - 4:00 PM (MW),Tue May 8,3:30 - 5:30 pm,2LCE,E101,
CS 301 - 40574 - 12:00 PM (MWF),Tue May 8,8:00 - 10:00 am,2LCF,F006,
CS 341  - 34723 - 4:00 PM (MWF),Tue May 8,3:30 - 5:30 pm,2LCB,"B101, 2LCC C003",
CS 342  - 35976 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2LCB,B101 ,
CS 361 - 36306 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2LCA,A001,
CS 362 - 36309 - 11:00 AM (TR),Mon May 7,10:30 - 12:30 pm,2LCE,E101,
CS 377 - 36312 - 9:00 AM (MW),Tue May 8,10:30 - 12:30 pm,2TBH,180B,
CS 377 - 38111 - 12:00 PM (MW),Tue May 8,8:00 - 10:00 am,2TBH,180D,
CS 377 - 40663 - 2:00 PM (MW),Wed May 9,1:00 - 3:00 pm,2TBH,180D,
CS 377 - 39374 - 1:00 PM (MW),Mon May 7,1:00 - 3:00 pm,2TBH,180D,
CS 401  - 17454 - 11:00 AM (MWF),Thu May 10,10:30 - 12:30 pm,2BH,317,
CS 401  - 17455 - 12:30 PM (TR),Fri May 11,8:00 - 10:00 am,2LCC,C003,
CS 401  - 20665 - 11:00 AM (MWF),Thu May 10,10:30 - 12:30 pm,2BH,317,
CS 401  - 20667 - 12:30 PM (TR),Fri May 11,8:00 - 10:00 am,2LCC,C003,
CS 401  - 41266 - 12:00 PM (MWF),Tue May 8,8:00 - 10:00 am,2BH,208,
CS 401  - 41267 - 12:00 PM (MWF),Tue May 8,8:00 - 10:00 am,2BH,208,
CS 411  - 38550 - 4:00 PM (MW),Tue May 8,3:30 - 5:30 pm,2LCF,F006,
CS 411  - 38549 - 4:00 PM (MW),Tue May 8,3:30 - 5:30 pm,2LCF,F006,
CS 412  - 38114 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2LCF,F004,
CS 412  - 38115 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2LCF,F004,
CS 421   - 28653 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2BH,"208, 305",
CS 421   - 28654 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2BH,"208, 305",
CS 422  - 20669 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2SES,230,
CS 422  - 19650 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2SES,230,
CS 440 - ALL,Wed May 9,6:00 - 8:00 pm,2LCD,D005,
CS 442   - 33785 - 10:00 AM (MWF),Fri May 11,10:30 - 12:30 pm,2LCD,D001,
CS 442   - 33786 - 10:00 AM (MWF),Fri May 11,10:30 - 12:30 pm,2LCD,D001,
CS 450   - 17432 - 5:00 PM (TR),Thu May 10,3:30 - 5:30 pm,LCF,F003,
CS 450   - 19163 - 5:00 PM (TR),Thu May 10,3:30 - 5:30 pm,2LCF,F003,
CS 466  - 26694 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2LCE,E101,
CS 466  - 26695 - 9:30 AM (TR),Wed May 9,10:30 - 12:30 pm,2LCE,E101,
CS 474  - 38616 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2LCC,C001,
CS 474  - 38617 - 2:00 PM (TR),Wed May 9,3:30 - 5:30 pm,2LCC,"C001, 2LCE E101",
CS 478  - 37633 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2LCC,C003,
CS 478  - 37634 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2LCC,C003,
CS 480  - 17438 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2TBH,180G,
CS 480  - 19171 - 3:30 PM (TR),Fri May 11,1:00 - 3:00 pm,2TBH,180G,
CS 485  - 41121 - 6:30 PM (MW),Mon May 7,6:00 - 8:00 pm,2SES,238,
CS 485  - 41112 - 6:30 PM (MW),Mon May 7,6:00 - 8:00 pm,2SES,238,
CS 489  - 38327 - 12:30 PM (TR),Fri May 11,8:00 - 10:00 am,2ERF,3036 ,
CS 489  - 38328 - 12:30 PM (TR),Fri May 11,8:00 - 10:00 am,2ERF,3036 ,
CS 491  - 41204 - 2:00 PM (T),Wed May 9,3:30 - 5:30 pm,2SEL,4018,
CS 501  - 33788 - 9:00 AM (MWF),Tue May 8,10:30 - 12:30 pm,2SH,220,
CS 511  - 17442 - 11:00 AM (MWF),Thu May 10,10:30 - 12:30 pm,2LCA,A005,
CS 514  - 38618 - 10:00 AM (MWF),Fri May 11,10:30 - 12:30 pm,2LCA,A005,
CS 540  - 37332 - 12:30 PM (TR),Fri May 11,8:00 - 10:00 am,2BH,B10,
CS 553  - 31243 - 11:00 AM (MWF),Thu May 10,10:30 - 12:30 pm,2BH,B10,
CS 566  - 33563 - 6:30 PM (TR),Tue May 8,6:30 - 9:30 pm,2LH,103,
CS 569  - 27021 - 11:00 AM (TR),Mon May 7,10:30 - 12:30 pm,2BH,316,
CS 581  - 28655 - 2:00 PM (MW),Wed May 9,1:00 - 3:00 pm,2BH,304,
CS 583  - ALL,Wed May 9,6:00 - 8:00 pm,2LCF,F001,
