Course CRN Meeting Time,Day,Time,Building,Room,Comments
AAST 100 - 25513 - 3:00 PM (MW),Mon Dec 5,8:00 - 10:00 am,2BH,208,
AAST 110 - 10281 - 12:30 PM (TR),Fri Dec 9,8:00 - 10:00 am,2TH,204,
AAST 125 - 39377 - 12:30 PM (TR),Fri Dec 9,8:00 - 10:00 am,2BSB,211,
AAST 203 - 10275 - 9:00 AM (MWF),Tue Dec 6,10:30 - 12:30 pm,2LCA,A007,
AAST 225 - 28567 - 2:00 PM (TR),Wed Dec 7,3:30 - 5:30 pm,2LCC,C003,
AAST 229 - 27060 - 9:00 AM (MWF),Tue Dec 6,10:30 - 12:30 pm,2TH,207,
AAST 247 - 10031 - 2:00 PM (TR),Wed Dec 7,3:30 - 5:30 pm,2BSB,385,
AAST 249 - 35634 - 3:00 PM (W),Mon Dec 5,8:00 - 10:00 am,2LH,205,
AAST 250 - 24488 - 11:00 AM (TR),Mon Dec 5,10:30 - 12:30 pm,2TH,204,
AAST 262 - 33574 - 9:30 AM (TR),Wed Dec 7,10:30 - 12:30 pm,2LCA,A005,
AAST 271 - 28957 - 3:30 PM (TR),Fri Dec 9,1:00 - 3:00 pm,2BSB,369,
AAST 272 - 36599 - 1:00 PM (MWF),Mon Dec 5,1:00 - 3:00 pm,2LH,101,
AAST 306 - 35641 - 2:00 PM (TR),Wed Dec 7,3:30 - 5:30 pm,2BSB,115,
AAST 340 - 28444 - 9:30 AM (TR),Wed Dec 7,10:30 - 12:30 pm,2LH,308,
AAST 492 - 37152 - 3:30 PM (T),Fri Dec 9,1:00 - 3:00 pm,2BSB,265,
AAST 492 - 37153 - 3:30 PM (T),Fri Dec 9,1:00 - 3:00 pm,2BSB,265,
AAST 496 - 39473 - 3:00 PM (M),Mon Dec 5,8:00 - 10:00 am,2LH,207,
AAST 496 - 39474 - 3:00 PM (M),Mon Dec 5,8:00 - 10:00 am,2LH,207,
ACTG 210 - 38058,Mon Dec 5,6:00 - 8:00 pm,2LC,"B101, E101",Combined Section Final
ACTG 210 - 27833,Mon Dec 5,6:00 - 8:00 pm,2LC,A1,Combined Section Final
ACTG 210 - 36756,Mon Dec 5,6:00 - 8:00 pm,2LC,"B101, E101",Combined Section Final
ACTG 210 - 27834,Mon Dec 5,6:00 - 8:00 pm,2LC,A1,Combined Section Final
ACTG 210 - 39315,Mon Dec 5,6:00 - 8:00 pm,2LC,"B101, E101",Combined Section Final
ACTG 210 - 40403,Mon Dec 5,6:00 - 8:00 pm,2LC,"B101, E101",Combined Section Final
ACTG 211 - 27836,Tue Dec 6,6:00PM - 8:00 pm,2SES,250,Combined Section Final
ACTG 211 - 39316,Thu Dec 8,8:00 - 10:00 am,2BH,208,
ACTG 211 - 27837,Tue Dec 6,6:00PM - 8:00 pm,2SES,250,Combined Section Final
ACTG 211 - 39317,Wed Dec 7,10:30 - 12:30 pm,2DH,210,
ACTG 315 - 10036 - 11:00 AM (TR),Tue Dec 6,6:00 - 8:00 pm,LC,"F1, F3",Combined Section Final
ACTG 315 - 10039 - 11:00 AM (TR),Tue Dec 6,6:00 - 8:00 pm,LC,"F1, F3",Combined Section Final
ACTG 315 - 33129 - 3:30 PM (TR),Tue Dec 6,6:00 - 8:00 pm,LC,"F1, F3",Combined Section Final
ACTG 315 - 10045 - 12:30 PM (TR),Tue Dec 6,6:00 - 8:00 pm,LC,"F1, F3",Combined Section Final
ACTG 316 - 10052 - 11:00 AM (TR),Mon Dec 5,6:00 - 8:00 pm,2LC,F6,
ACTG 316 - 10055 - 11:00 AM (TR),Mon Dec 5,6:00 - 8:00 pm,2LC,F6,
ACTG 316 - 39594 - 3:30 PM (TR),Mon Dec 5,6:00 - 8:00 pm,2LC,F6,
ACTG 326 - 10061 - 2:00 PM (MWF),Wed Dec 7,1:00 - 3:00 pm,2DH,210,
ACTG 326 - 10059 - 3:00 PM (MWF),Mon Dec 5,8:00 - 10:00 am,2SH,319,
ACTG 355 - 10069 - 1:00 PM (MWF),Mon Dec 5,1:00 - 3:00 pm,2SH,319,
ACTG 417 - 35394 - 11:00 AM (TR),Mon Dec 5,10:30 - 12:30 pm,2BH,B6,
